,Year,Timesteps,Region,Technology,Carrier,Value
0,2020,1,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
1,2020,2,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
2,2020,3,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
3,2020,4,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
4,2020,5,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
5,2020,6,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
6,2020,7,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
7,2020,8,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
8,2020,9,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
9,2020,10,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
10,2020,11,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
11,2020,12,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
12,2020,13,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
13,2020,14,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
14,2020,15,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
15,2020,16,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
16,2020,17,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
17,2020,18,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
18,2020,19,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
19,2020,20,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
20,2020,21,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
21,2020,22,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
22,2020,23,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
23,2020,24,reg1,Pump_hydro_ST,Electricity,1.2027272727272726
24,2021,1,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
25,2021,2,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
26,2021,3,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
27,2021,4,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
28,2021,5,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
29,2021,6,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
30,2021,7,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
31,2021,8,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
32,2021,9,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
33,2021,10,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
34,2021,11,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
35,2021,12,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
36,2021,13,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
37,2021,14,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
38,2021,15,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
39,2021,16,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
40,2021,17,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
41,2021,18,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
42,2021,19,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
43,2021,20,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
44,2021,21,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
45,2021,22,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
46,2021,23,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
47,2021,24,reg1,Pump_hydro_ST,Electricity,1.2903345454545454
48,2022,1,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
49,2022,2,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
50,2022,3,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
51,2022,4,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
52,2022,5,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
53,2022,6,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
54,2022,7,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
55,2022,8,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
56,2022,9,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
57,2022,10,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
58,2022,11,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
59,2022,12,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
60,2022,13,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
61,2022,14,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
62,2022,15,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
63,2022,16,reg1,Pump_hydro_ST,Electricity,1.3779418181818182
